,Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
127,Barbados,"110,235",,641,,"108,647",,947,,"810,447","288,023"
128,Angola,"106,002",,"1,936",,"103,419",,647,,"1,499,795","35,027,343"
129,Channel Islands,"101,717",,228,,"101,321",,168,,"1,252,808","176,463"
130,DRC,"99,226",,"1,468",,"84,489",,"13,269",,"846,704","95,240,792"
131,French Guiana,"98,041",,420,,"11,254",,"86,367",6,"651,257","314,169"
132,Malawi,"89,089",,"2,686",,N/A,N/A,N/A,N/A,"624,784","20,180,839"
133,Senegal,"89,025",,"1,971",,"87,024",,30,,"1,146,543","17,653,671"
134,Ivory Coast,"88,354",,835,,"87,497",,22,,"1,690,934","27,742,298"
135,Suriname,"82,588",,"1,408",,N/A,N/A,N/A,,"242,207","596,831"
136,New Caledonia,"80,064",,314,,N/A,N/A,N/A,N/A,"98,964","290,915"
137,French Polynesia,"78,700",,649,,N/A,N/A,N/A,N/A,,"284,164"
138,Eswatini,"75,166",,"1,427",,"73,116",,623,,"1,048,704","1,184,817"
139,Guyana,"73,673",,"1,299",,"72,013",,361,,"733,218","794,045"
140,Belize,"71,373",,688,,N/A,N/A,N/A,N/A,"576,016","412,190"
141,Fiji,"69,117",,885,,"67,226",,"1,006",,"672,883","909,466"
142,Madagascar,"68,386",,"1,426",,"66,862",,98,,"531,329","29,178,077"
143,Cabo Verde,"64,477",,417,,"63,755",,305,23,"401,622","567,678"
144,Sudan,"63,993",,"5,046",,"58,947",,0,,"562,941","45,992,020"
145,Mauritania,"63,777",,997,,"62,471",,309,,"1,009,957","4,901,981"
146,Bhutan,"62,697",,21,,"61,564",,"1,112",,"2,303,734","787,941"
147,Syria,"57,743",,"3,165",,"54,578",,0,,"146,269","19,364,809"
148,Burundi,"54,721",,38,,"53,569",,"1,114",,"345,742","12,624,840"
149,Seychelles,"51,058",,172,,"50,845",,41,,,"99,426"
150,Gabon,"49,046",,307,,"48,674",,65,,"1,621,909","2,331,533"
151,Andorra,"48,015",,165,,N/A,N/A,N/A,N/A,"249,838","77,463"
152,Papua New Guinea,"46,864",,670,,"46,168",,26,N/A,"249,149","9,292,169"
153,Curaçao,"45,986",,295,,"44,720",,971,3,"496,693","165,529"
154,Aruba,"44,224",,292,,"42,438",,"1,494",2,"177,885","107,609"
155,Tanzania,"43,087",,846,,N/A,N/A,N/A,N/A,,"63,298,550"
156,Mauritius,"43,025",,"1,051",,"41,278",,696,,"358,675","1,274,727"
157,Mayotte,"42,027",,188,,N/A,N/A,N/A,,"176,919","286,259"
158,Togo,"39,531",,290,,"39,216",,25,,"812,881","8,680,837"
159,Guinea,"38,569",,468,,"37,757",,344,N/A,"660,107","13,865,691"
160,Bahamas,"38,084",,844,,"36,366",,874,1,"257,839","400,516"
161,Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"150,753","85,732"
162,Lesotho,"35,836",,723,,"25,980",,"9,133",,"431,221","2,175,699"
163,Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,N/A,"778,000","49,233"
164,Haiti,"34,493",,860,,"33,372",,261,,"132,422","11,680,283"
165,Mali,"33,162",,743,,"32,332",,87,,"804,909","21,473,764"
166,Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"222,773","67,277"
167,Saint Lucia,"30,209",,410,,"29,798",,1,,"210,983","185,113"
168,Benin,"28,036",,163,,"27,847",,26,,"604,310","12,784,726"
169,Somalia,"27,334",,"1,361",,"13,182",,"12,791",,"400,466","16,841,795"
170,Micronesia,"26,547",,65,,N/A,N/A,N/A,N/A,"82,430","117,489"
171,Solomon Islands,"25,954",,199,,N/A,N/A,N/A,N/A,,"721,159"
172,Congo,"25,375",,386,,"24,006",,983,,"347,815","5,797,805"
173,San Marino,"25,292",,126,,"24,760",,406,N/A,"196,855","34,085"
174,Timor-Leste,"23,460",,138,,"23,102",,220,,"278,529","1,369,429"
175,Burkina Faso,"22,093",,398,,"21,596",,99,,"248,995","22,102,838"
176,Liechtenstein,"21,526",,94,,N/A,N/A,N/A,N/A,"112,457","38,387"
177,Gibraltar,"20,550",,113,,N/A,N/A,N/A,,"534,283","33,704"
178,Macao,"20,215",,123,,"3,487",,"16,605",,"7,850","667,490"
179,Grenada,"19,693",,238,,"19,358",,97,4,"182,981","113,475"
180,Bermuda,"18,860",,165,,"18,685",,10,,"1,029,558","61,939"
181,South Sudan,"18,595",,138,,"18,115",,342,1,"410,280","11,618,511"
182,Nicaragua,"18,491",,225,,"4,225",,"14,041",,,"6,779,100"
183,Tajikistan,"17,786",,125,,"17,264",,397,,,"9,957,464"
184,Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"365,697","1,496,662"
185,Monaco,"17,181",,67,,N/A,N/A,N/A,N/A,"78,646","39,783"
186,Tonga,"16,888",,13,,"15,638",,"1,237",,"535,009","107,749"
